1,"190,0",61,"6,0","4,1",17,77,73,20,"0,44","0,59","0,31","0,01",192,"0,02-0,056"
2,"170,0",58,"6,0","3,8",12,87,"9,5",18,"0,40","0,58","0,13","0,59",145,"0,02-0,056"
3,"117,0",66,"6,7","3,8",12,75,174,15,"0,31","0,55","0,13","0,58",211,"0,02-0,056"
4,"127,0",60,"6,6","4,1",15,50,118,15,"0,40","0,58","0,23","0,59",145,"0,02-0,056"
5,"25,0",63,"6,2","3,8",18,67,106,13,"0,40","0,58","0,14","0,59",145,"0,02-0,056"
6,"100,0",58,"5,8","4,3",20,44,72,16,"0,40","0,58","0,20","0,59",145,"0,02-0,056"
7а,"107,0",58,"6,5","4,3",12,75,71,40,"0,40","0,58","0,24","0,59",145,"0,02-0,056"
7б,"27,0",66,"6,4","4,2",16,95,95,17,"0,40","0,58","0,24","0,59",145,"0,02-0,056"
8,"113,0",66,"6,4","4,2",16,95,95,17,"0,40","0,58","0,24","0,59",145,"0,02-0,056"
9,"140,0",68,"6,8","4,4",19,81,109,30,"0,40","0,58","0,40","0,59",145,"0,02-0,056"
10,"142,0",70,"5,8","3,9",21,81,138,19,"0,40","0,58","0,21","0,59",145,"0,02-0,056"
11,"45,0",76,"6,2","3,8",15,172,153,10,"0,40","0,58","0,18","0,59",145,"0,02-0,056"
12,"87,0",55,"6,4","3,4",12,45,116,10,"0,40","0,58","0,16","0,59",145,"0,02-0,056"
13,"34,0",55,"6,4","3,4",12,45,116,10,"0,40","0,58","0,16","0,59",145,"0,02-0,056"
14,"109,0",52,"6,2","3,2",19,40,57,15,"0,40","0,58","0,14","0,59",145,"0,02-0,056"
15,"38,0",63,"7,0","4,5",16,56,117,14,"0,40","0,58","0,22","0,59",145,"0,02-0,056"
16,"48,0",63,"7,0","4,5",16,56,117,14,"0,40","0,58","0,22","0,59",145,"0,02-0,056"
17,"10,0",61,"7,2","3,3",11,98,119,14,"0,40","0,58","0,17","0,59",145,"0,02-0,056"
18,"28,0",61,"7,2","3,3",11,98,119,14,"0,40","0,58","0,17","0,59",145,"0,02-0,056"
19,"140,0",61,"7,2","3,3",11,98,119,14,"0,40","0,58","0,17","0,59",145,"0,02-0,056"
20,"110,0",71,"6,0","3,4",25,87,138,21,"0,40","0,58","0,20","0,59",145,"0,02-0,056"
21,"64,0",66,"6,4","4,2",16,95,95,17,"0,40","0,58","0,24","0,59",145,"0,02-0,056"
22,"100,0",68,"6,8","4,4",19,81,109,30,"0,40","0,58","0,40","0,59",145,"0,02-0,056"
23а,"122,0",66,"6,0","3,9",18,84,111,16,"0,31","0,57","0,19","1,18","0,08","0,02-0,056"
23б,"47,0",66,"6,0","3,9",18,84,111,16,"0,31","0,57","0,19","1,18","0,08","0,02-0,056"
24,"65,0",76,"6,2","3,8",15,172,153,10,"0,40","0,58","0,18","0,59",145,"0,02-0,056"
25,"115,0",55,"6,3","3,3",12,38,117,14,"0,40","0,58","0,20","0,59",145,"0,02-0,056"
26,"60,0",59,"6,2","4,0",14,60,104,14,"0,40","0,58","0,23","0,59",145,"0,02-0,056"
27а,"20,0",59,"6,1","3,1",14,73,116,14,"0,40","0,58","0,26","0,59",145,"0,02-0,056"
27б,"14,0",68,"7,2","3,6",10,221,100,13,"0,40","0,58","0,14","0,59",145,"0,02-0,056"
28,"65,0",62,"6,9","3,6",13,75,133,17,"0,40","0,58","0,13","0,59",145,"0,02-0,056"
29,"94,0",66,"6,8","4,0",15,86,132,18,"0,40","0,58","0,22","0,59",145,"0,02-0,056"
30,"71,0",62,"6,9","3,6",13,75,133,17,"0,40","0,58","0,13","0,59",145,"0,02-0,056"
31,"89,0",66,"6,8","4,0",15,86,132,18,"0,40","0,58","0,22","0,59",145,"0,02-0,056"
32,"177,0",69,"6,9","4,4",17,91,120,18,"0,40","0,58","0,16","0,59",145,"0,02-0,056"
33,"176,0",69,"6,3","3,5",18,79,159,14,"0,40","0,58","0,21","0,59",145,"0,02-0,056"
